,FERAID,NGS Run Number,BIOSYS site ID,Season,Dataset,SPT_Name,Conductivity,N_NH4,N_NO3,P_PO4,Alkalinity,pH,TotalRead,NonPlankRead,NoBlast Hit,% No Blast Hit of total count,NGS_TDI,LM_TDI4,LM_TDI5,Northing,Easting,Lon,Lat
0,2662,Diatom2,53,Spr,2016,MASHAM,175.6112218,0.029999999,1.022744739,0.020202873,50.41666667,8.047222217,30710,30706,12770,41.58796326,40.26739859,39.53733766,39.52419355,479895,422522,54.21429764,-1.656144639
1,2854,Diatom4,53,Aut,2016,MASHAM,175.6112218,0.029999999,1.022744739,0.020202873,50.41666667,8.047222217,49744,49696,18357,36.93858661,59.60280736,44.7826087,43.7987013,479895,422522,54.21429764,-1.656144639
2,2632,Diatom2,83,Spr,2016,COLNEBRIDGE,323.8662527,0.109223935,2.365707225,0.091403369,44.25,7.88218753,22553,21006,1771,8.430924498,48.46843257,69.52614379,69.07051282,420161,417730,53.67761746,-1.733071034
3,2700,Diatom3,83,Aut,2016,COLNEBRIDGE,323.8662527,0.109223935,2.365707225,0.091403369,44.25,7.88218753,57772,45069,12879,28.57618319,71.47808702,57.81144781,56.59539474,420161,417730,53.67761746,-1.733071034
4,2987,Diatom1,110,Spr,2016,HARTLINGTON BRIDGE,113.4060889,0.015710072,0.52325572,0.014134513,37.5,7.857307709,27403,27403,15705,57.31124329,39.94803196,39.95833333,39.8255814,460867,403980,54.04375967,-1.940712089
5,2675,Diatom3,110,Aut,2016,HARTLINGTON BRIDGE,113.4060889,0.015710072,0.52325572,0.014134513,37.5,7.857307709,60458,60148,38577,64.1367959,44.34180613,46.76282051,46.78343949,460867,403980,54.04375967,-1.940712089
6,2379,Diatom2 ,118,Spr,2016,DUNFORD BRIDGE,78.56519488,0.029172559,0.333670542,0.009787868,17.5625,7.513437495,39395,39360,16004,40.66056911,9.587970717,25.1147541,22.93413174,402415,415792,53.51817494,-1.763301381
7,3008,Diatom4,118,Aut,2016,DUNFORD BRIDGE,78.56519488,0.029172559,0.333670542,0.009787868,17.5625,7.513437495,37417,37417,22148,59.19234573,12.26399364,20.28205128,12.86666667,402415,415792,53.51817494,-1.763301381
8,3145,Diatom1,148,Spr,2016,U/S RIVER DON,160.6539924,0.024171674,0.632727505,0.009849532,26.60606061,7.702499986,23151,23150,16972,73.31317495,34.75273903,25.14326648,25.10638298,395522,429836,53.45561318,-1.552153774
9,3081,Diatom4,148,Aut,2016,U/S RIVER DON,160.6539924,0.024171674,0.632727505,0.009849532,26.60606061,7.702499986,33047,32947,7005,21.26141986,29.12649423,32.47591522,30.75454545,395522,429836,53.45561318,-1.552153774
10,2636,Diatom2,254,Spr,2016,U/S BOOTH DEAN CLOUGH,139.678208,0.03013619,0.57426397,0.013773353,23.48484848,7.886969725,43577,43380,7953,18.33333333,17.23527921,35.19295302,34.85973597,418775,403416,53.66544632,-1.949777653
11,2960,Diatom4,254,Aut,2016,U/S BOOTH DEAN CLOUGH,139.678208,0.03013619,0.57426397,0.013773353,23.48484848,7.886969725,34260,34023,8656,25.44161303,52.16849756,54.12891986,50.00806452,418775,403416,53.66544632,-1.949777653
12,2890,Diatom2,267,Spr,2016,BARUGH BRIDGE,226.8434205,0.054681222,0.700196964,0.024382013,58.51515152,7.747941129,53177,53177,4910,9.233315155,57.21468112,63.23482428,62.75396825,479091,474463,54.20217087,-0.85998971
13,3093,Diatom4,267,Aut,2016,BARUGH BRIDGE,226.8434205,0.054681222,0.700196964,0.024382013,58.51515152,7.747941129,40087,39779,7201,18.1025164,69.71428421,59.1025641,59.03785489,479091,474463,54.20217087,-0.85998971
14,2727,Diatom3,314,Aut,2016,WENSLEY,249.6810281,0.029999999,0.697906924,0.013141082,109.75,8.057333279,56847,56684,26847,47.36257145,53.94807379,54.63022508,54.14790997,489411,409190,54.30022967,-1.860289134
15,3070,Diatom3,314,Spr,2016,WENSLEY,249.6810281,0.029999999,0.697906924,0.013141082,109.75,8.057333279,34445,34409,16135,46.89180156,37.92447346,37.58038585,37.58038585,489411,409190,54.30022967,-1.860289134
16,2898,Diatom2,319,Spr,2016,WEST TANFIELD,267.9000944,0.030727895,0.982558366,0.013401792,103.4166667,8.220555491,45722,45709,22789,49.85670218,45.65721629,38.19767442,37.90562914,478780,427067,54.20405816,-1.58655311
17,2606,Diatom3,319,Aut,2016,WEST TANFIELD,267.9000944,0.030727895,0.982558366,0.013401792,103.4166667,8.220555491,66060,66030,28029,42.44888687,69.0049167,57.61437908,56.63398693,478780,427067,54.20405816,-1.58655311
