Strain	Code
394	394
iDTM42_17	iDTM42_17
rsys_FJ002137_Base-NCBI	rsys_FJ002137_Base-NCBI
rsys_FJ002143_Base-NCBI	rsys_FJ002143_Base-NCBI
iDTM100_4	iDTM100_4
KJ658394	KJ658394
rsys_FJ002151_Base-NCBI	rsys_FJ002151_Base-NCBI
rsys_TCC830-Rbcl-1_Bibliotheque_du_vivant	rsys_TCC830-Rbcl-1_Bibliotheque_du_vivant
58	58
666	666
676	676
707	707
80	80
903	903
906	906
rsys_TCC679-Rbcl-1_@speed-ID	rsys_TCC679-Rbcl-1_@speed-ID
rsys_TCC693-Rbcl-1_@speed-ID	rsys_TCC693-Rbcl-1_@speed-ID
HQ912458	HQ912458
KJ658379	KJ658379
KJ658387	KJ658387
KJ658390	KJ658390
rsys_HQ912438_Base-NCBI	rsys_HQ912438_Base-NCBI
rsys_KJ577875_Base-NCBI	rsys_KJ577875_Base-NCBI
rsys_KJ577876_Base-NCBI	rsys_KJ577876_Base-NCBI
rsys_KJ577877_Base-NCBI	rsys_KJ577877_Base-NCBI
507	507
82	82
892	892
rsys_AM710487_Base-NCBI	rsys_AM710487_Base-NCBI
rsys_FJ002099_Base-NCBI	rsys_FJ002099_Base-NCBI
rsys_FJ002140_Base-NCBI	rsys_FJ002140_Base-NCBI
KM084926	KM084926
KM084927	KM084927
KM084928	KM084928
KM084978	KM084978
KM084993	KM084993
rsys_KC954577_Base-NCBI	rsys_KC954577_Base-NCBI
rsys_KJ463467_Base-NCBI	rsys_KJ463467_Base-NCBI
679	679
79	79
87	87
French8446	French8446
gHQ912403	gHQ912403
HQ912403	HQ912403
KM084933	KM084933
rsys_KC954575_Base-NCBI	rsys_KC954575_Base-NCBI
rsys_KJ463463_Base-NCBI	rsys_KJ463463_Base-NCBI
rsys_KJ463468_Base-NCBI	rsys_KJ463468_Base-NCBI
rsys_TCC702-Rbcl-1_@speed-ID	rsys_TCC702-Rbcl-1_@speed-ID
rsys_KJ463462_Base-NCBI	rsys_KJ463462_Base-NCBI
rsys_KJ463464_Base-NCBI	rsys_KJ463464_Base-NCBI
rsys_KJ463466_Base-NCBI	rsys_KJ463466_Base-NCBI
rsys_KJ463476_Base-NCBI	rsys_KJ463476_Base-NCBI
rsys_AM710511_Base-NCBI	rsys_AM710511_Base-NCBI
KM084932	KM084932
KM084934	KM084934
rsys_AM710425_Base-NCBI	rsys_AM710425_Base-NCBI
rsys_KJ463459_Base-NCBI	rsys_KJ463459_Base-NCBI
KM084979	KM084979
rsys_AM710426_Base-NCBI	rsys_AM710426_Base-NCBI
rsys_AM710489_Base-NCBI	rsys_AM710489_Base-NCBI
rsys_KP229547_Base-NCBI	rsys_KP229547_Base-NCBI
